ID,target,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26
0,True,0.2616,2.5025,-11.166,-0.3815,0.2319,-1.4798,0.0072,-4.1052,0.5083,-0.1245,-0.7892,0.0079,-0.3102,0.6222,0.274,3.4756,-0.4796,-4.9826,-12.1896,1.3346,-0.1038,-0.1328,-0.2646,11.5052,0.1535,0.0963,0.3345
1,True,0.3874,1.0461,-9.4303,0.01,-0.9858,-0.4959,0.0044,-0.3943,1.0242,-0.5792,0.5096,0.0036,-0.3231,0.594,0.0551,3.4959,-1.2182,-1.9471,-8.3548,6.0248,0.0607,-0.1689,-0.1911,9.4314,0.1386,3.7278,-0.5929
2,True,0.2276,5.5317,-10.4569,0.1915,-0.828,-0.2836,0.0052,-3.8544,0.9625,,0.0192,0.0093,2.4562,0.4667,-0.1822,,-0.3134,1.2284,-0.8834,2.4716,0.2844,0.0231,-0.4979,10.3966,0.1455,-1.1622,-0.2638
3,False,0.3544,-0.2149,-3.9802,0.1635,0.5326,-0.4676,0.0268,3.0157,-1.4849,-0.0145,1.9718,-0.0128,-1.9798,0.1532,0.072,1.6406,0.4547,,0.9018,0.2686,0.046,0.2039,-2.2213,3.6265,-0.1575,1.5227,4.7911
4,False,0.3118,3.2238,-5.9532,-0.0805,1.1114,1.3232,0.019,3.4671,-0.7132,0.5754,0.0736,-0.0097,-2.1886,0.1345,0.2269,1.1892,0.2627,-0.7276,-2.2058,-3.4741,0.2296,-0.1185,1.3222,6.1321,0.3408,1.8497,-0.9679
5,False,0.0447,4.0368,-4.7527,0.0511,-0.843,-0.9135,0.0177,0.1574,-0.5853,0.1281,1.7175,0.0017,1.8363,0.3405,-0.2041,2.1759,0.7686,2.1507,4.4721,-0.442,-0.0894,0.2425,2.3266,4.4838,-0.1301,2.5779,1.9816
6,True,0.2044,3.3745,-10.498,-0.0121,0.2319,-0.142,0.0031,6.2252,0.4863,,-0.0898,0.0036,0.3522,0.422,-0.0762,2.4378,-0.8526,-0.2022,5.3978,4.9588,0.0444,-0.0377,1.616,10.615,-0.2031,4.9088,1.7742
7,False,0.2581,2.1996,-11.0436,-0.0989,0.7656,-0.0075,0.0141,-3.5535,0.3099,-0.4514,-2.0062,0.003,-0.2674,0.283,0.1982,3.2963,-0.4094,-0.5825,-25.281,-3.6872,0.1117,-0.0076,0.4821,10.9005,0.1314,2.5293,1.2704
8,True,0.2004,1.0975,-3.5121,-0.139,-0.1815,-1.0409,0.0178,-3.4031,1.0463,-0.2107,-0.2442,0.0003,2.6825,0.558,0.0855,,-1.2145,-2.7578,8.7698,2.2821,-0.2226,0.2272,-1.394,3.5035,-0.2941,-1.1591,3.0271
9,False,0.4036,2.7348,-2.184,0.185,0.0139,0.5941,0.0174,-1.6479,-0.3163,0.4239,-0.7892,-0.0123,-0.4517,0.3733,-0.1519,0.5335,0.0005,-0.5346,-3.5943,4.5324,0.154,-0.2095,0.5824,2.4246,-0.017,4.0265,5.285
10,True,0.0436,3.1683,-5.7584,-0.2565,-1.1361,-1.6072,0.0087,5.6735,0.376,-0.0427,-1.6247,0.0139,-3.0168,0.4724,0.1292,,-0.9412,-4.7427,5.3978,4.7693,0.0468,0.1292,-0.3711,6.1593,0.1352,4.3753,-1.4753
